Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.9311E-06,-1.1286E-06,3.1729E-08,0,0,0,0.037895,3.9107E-05,-8.067E-10,-3.7841E-11,3.91E-05,1.6043E-11,3.9101E-05,0,0,0,0,0,0,package://xin_12zu/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/base_link.STL,,shengcheng中间基座-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,-2.0629E-13,2.3413E-13,0.019791,0,0,0,0.041471,3.1606E-05,3.3881E-21,4.9763E-21,3.1606E-05,1.0376E-20,2.9764E-06,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link1.STL,,taotong-1,Origin_joint1,Axis_joint1,joint1,prismatic,-0.026699,-0.043198,0,-1.5708,-0.72228,2.588,base_link,0,0,1,0,0,0,0.08,,,0.1,1,,,,
Empty_Link2,-5.2874E-14,-2.6096E-14,0.060978,0,0,0,0.041471,3.1606E-05,2.3293E-21,-1.2705E-21,3.1606E-05,-1.4823E-21,2.9764E-06,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link2.STL,,taotong-2,Origin_joint2,Axis_joint2,joint2,prismatic,0.0050449,-0.0081627,0,1.5708,-1.1121,0.55358,base_link,0,0,1,0,0,0,0.08,,,0.1,1,,,,
Empty_Link3,5.7058E-14,3.0676E-13,0.019791,0,0,0,0.041471,3.1606E-05,-1.2705E-21,1.2266E-22,3.1606E-05,7.9359E-21,2.9764E-06,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link3.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link3.STL,,taotong-3,Origin_joint3,Axis_joint3,joint3,prismatic,0.043198,0,-0.026699,-2.854,-0.99051,-0.34001,base_link,0,0,1,0,0,0,0.08,,,0.1,1,,,,
Empty_Link4,-3.0234E-13,-7.715E-14,0.019791,0,0,0,0.041471,3.1606E-05,6.3527E-22,-7.1204E-21,3.1606E-05,-6.0351E-21,2.9764E-06,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link4.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link4.STL,,taotong-4,Origin_joint4,Axis_joint4,joint4,prismatic,0.026699,0.043198,0,1.5708,-1.3209,2.588,base_link,0,0,1,0,0,0,0.08,,,0.1,1,,,,
Empty_Link5,7.4812E-14,-7.3908E-15,0.058338,0,0,0,0.041471,3.1606E-05,8.9997E-22,-3.5734E-21,3.1606E-05,-9.5291E-22,2.9764E-06,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link5.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link5.STL,,taotong-5,Origin_joint5,Axis_joint5,joint5,prismatic,-0.0064325,0.010408,0,1.5708,1.4723,-2.588,base_link,0,0,1,0,0,0,0.08,,,0.1,1,,,,
Empty_Link6,-3.8414E-14,3.0963E-13,0.019791,0,0,0,0.041471,3.1606E-05,4.2352E-22,-3.2942E-21,3.1606E-05,-8.0948E-21,2.9764E-06,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link6.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link6.STL,,taotong-6,Origin_joint6,Axis_joint6,joint6,prismatic,-0.043198,0,0.026699,-0.19664,1.005,2.9098,base_link,0,0,1,0,0,0,0.08,,,0.1,1,,,,
Empty_Link7,-1.3878E-17,-1.5266E-16,0.070573,0,0,0,0.041471,3.1606E-05,8.4703E-22,4.2352E-22,3.1606E-05,4.6587E-21,2.9764E-06,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link7.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link7.STL,,taotong-7,Origin_joint7,Axis_joint7,joint7,prismatic,0,0,0,0.46754,0.3081,-0.54089,base_link,0,0,1,0,0,0,0.08,,,0.1,1,,,,
Empty_Link8,-3.3412E-14,-4.3414E-14,0.061654,0,0,0,0.041471,3.1606E-05,1.6941E-21,-2.925E-21,3.1606E-05,5.6059E-21,2.9764E-06,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link8.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link8.STL,,taotong-8,Origin_joint8,Axis_joint8,joint8,prismatic,0.0075874,0,0.0046894,0.77883,0.7397,0.97159,base_link,0,0,1,0,0,0,0.08,,,0.1,1,,,,
Empty_Link9,-1.7347E-18,-6.9389E-18,0.019791,0,0,0,0.041471,3.1606E-05,6.3527E-22,6.2866E-21,3.1606E-05,8.1527E-21,2.9764E-06,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link9.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link9.STL,,taotong-9,Origin_joint9,Axis_joint9,joint9,prismatic,0,0.026699,0.043198,0.55134,0.052581,3.0563,base_link,0,0,1,0,0,0,0.08,,,0.1,1,,,,
Empty_Link10,5.0307E-17,2.7756E-17,0.019791,0,0,0,0.041471,3.1606E-05,-5.0822E-21,1.1753E-20,3.1606E-05,-1.1329E-20,2.9764E-06,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link10.STL,1,1,1,1,0,0,0,0,0,0,package://xin_12zu/meshes/Empty_Link10.STL,,taotong-10,Origin_joint10,Axis_joint10,joint10,prismatic,0,-0.026699,-0.043198,2.6411,0.24739,0.42097,base_link,0,0,1,0,0,0,0.08,,,0.1,1,,,,
